id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
1955,tribunal.regional.trabalho;turma.7,"Tribunal Regional do Trabalho. 7ª Turma",pt-BR,,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::7ª Turma,label_6797
1956,tribunal.regional.trabalho;turma.8,"Tribunal Regional do Trabalho. 8ª Turma",pt-BR,,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::8ª Turma,label_6798
1957,tribunal.regional.trabalho;turma.9,"Tribunal Regional do Trabalho. 9ª Turma",pt-BR,,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::9ª Turma,label_6799
1958,tribunal.regional.trabalho;turma.10,"Tribunal Regional do Trabalho. 10ª Turma",pt-BR,,#tribunal.regional.trabalho,,Tribunal Regional do Trabalho::10ª Turma,label_6800
1960,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.planejamento.estruturas.forca.trabalho,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Planejamento das Estruturas e da Força de Trabalho",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Planejamento das Estruturas e da Força de Trabalho",label_6805
1961,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.desenvolvimento.desempenho.institucional,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Desenvolvimento e Desempenho Institucional",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Desenvolvimento e Desempenho Institucional",label_6806
1962,"ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.desenvolvimento.desempenho.institucional,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.planejamento.estruturas.forca.trabalho","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Desenvolvimento e Desempenho Institucional; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Planejamento das Estruturas e da Força de Trabalho",pt-BR,,,,,label_6807
1963,tribunal.regional.trabalho;turma.7,"Tribunal Regional do Trabalho. 7ª Turma",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::7ª Turma,label_6808
1964,tribunal.regional.trabalho;turma.8,"Tribunal Regional do Trabalho. 8ª Turma",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::8ª Turma,label_6809
1965,tribunal.regional.trabalho;turma.9,"Tribunal Regional do Trabalho. 9ª Turma",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::9ª Turma,label_6810
1966,tribunal.regional.trabalho;turma.10,"Tribunal Regional do Trabalho. 10ª Turma",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::10ª Turma,label_6811
1967,tribunal.regional.trabalho;turma.recursal.juiz.fora,"Tribunal Regional do Trabalho. Turma Recursal de Juiz de Fora",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Turma Recursal de Juiz de Fora,label_6812
1968,tribunal.regional.trabalho;turma.descentralizada,"Tribunal Regional do Trabalho. Turma Descentralizada",pt-BR,,#tribunal.regional.trabalho,,Federal::Judiciário::Tribunal Regional do Trabalho::Turma Descentralizada,label_6813
1977,agencia.nacional.telecomunicacoes;presidente,Presidente,pt-BR,,#agencia.nacional.telecomunicacoes,,Presidente,label_6834
1978,agencia.nacional.telecomunicacoes;conselho.diretor,"Conselho Diretor",pt-BR,,#agencia.nacional.telecomunicacoes,,Conselho Diretor,label_6835
1979,agencia.nacional.telecomunicacoes;superintendencia.planejamento.regulamentacao,"Superintendência de Planejamento e Regulamentação",pt-BR,SPR,#agencia.nacional.telecomunicacoes,SPR – Superintendência de Planejamento e Regulamentação,Superintendência de Planejamento e Regulamentação,label_6836
