id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2260,br:supremo.tribunal.federal:acordao;re.agr.edv.ed,RE-AgR-EDV-ED,pt-BR,"Embargos de Declaração nos Embargos de Divergência no Agravo Regimental no Recurso Extraordinário",#acordao,RE-AgR-EDV-ED – Embargos de Declaração nos Embargos de Divergência no Agravo Regimental no Recurso Extraordinário,Jurisprudência::Acórdão,label_6205
2261,br:supremo.tribunal.federal:acordao;re.ai,RE-AI,pt-BR,"Agravo de Instrumento no Recurso Extraordinário",#acordao,RE-AI – Agravo de Instrumento no Recurso Extraordinário,Jurisprudência::Acórdão,label_6207
2262,br:supremo.tribunal.federal:acordao;re.ed.agr.ed,RE-ED-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Declaração no Recurso Extraordinário",#acordao,RE-ED-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Declaração no Recurso Extraordinário,Jurisprudência::Acórdão,label_6209
2263,br:supremo.tribunal.federal:acordao;re.ed.ed.edv.ed,RE-ED-ED-EDV-ED,pt-BR,"Embargos de Declaração nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário",#acordao,RE-ED-ED-EDV-ED – Embargos de Declaração nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário,Jurisprudência::Acórdão,label_6211
2264,br:supremo.tribunal.federal:acordao;re.ed.ed.edv.ed.agr.ed.ed.ed,RE-ED-ED-EDV-ED-AgR-ED-ED-ED,pt-BR,"Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimental nos Embargos de Declaração nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário",#acordao,RE-ED-ED-EDV-ED-AgR-ED-ED-ED – Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimental nos Embargos de Declaração nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário,Jurisprudência::Acórdão,label_6213
2265,br:supremo.tribunal.federal:acordao;rms.agr.segundo,RMS-AgR-segundo,pt-BR,"Segundo Agravo Regimental no Recurso Ordinário em Mandado de Segurança",#acordao,RMS-AgR-segundo – Segundo Agravo Regimental no Recurso Ordinário em Mandado de Segurança,Jurisprudência::Acórdão,label_6215
2266,br:supremo.tribunal.federal:acordao;sl.agr.segundo,SL-AgR-segundo,pt-BR,"Segundo Agravo Regimental na Supensão Liminar",#acordao,SL-AgR-segundo – Segundo Agravo Regimental na Supensão Liminar,Jurisprudência::Acórdão,label_6217
2267,br:supremo.tribunal.federal:acordao;sta.agr.agr,STA-AgR-AgR,pt-BR,"Agravo Regimental no Agravo Regimental na Suspensão de Tutela Antecipada",#acordao,STA-AgR-AgR – Agravo Regimental no Agravo Regimental na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_6219
2268,br:supremo.tribunal.federal:acordao;sta.agr.terceiro,STA-AgR-terceiro,pt-BR,"Terceiro Agravo Regimental na Suspensão de Tutela Antecipada",#acordao,STA-AgR-terceiro – Terceiro Agravo Regimental na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_6221
2269,br:supremo.tribunal.federal:processo;are,ARE,pt-BR,"Recurso Extraordinário com Agravo",#processo,ARE – Recurso Extraordinário com Agravo,Processo,label_6242
