id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
4237,br;bahia;santa.luzia,"Santa Luzia - BA",pt-BR,,#br;bahia,,Municípios::Santa Luzia - BA,label_9148
4238,br;bahia;santa.maria.vitoria,"Santa Maria da Vitória - BA",pt-BR,,#br;bahia,,Municípios::Santa Maria da Vitória - BA,label_9149
4239,br;bahia;santana,"Santana - BA",pt-BR,,#br;bahia,,Municípios::Santana - BA,label_9150
4240,br;bahia;santanopolis,"Santanópolis - BA",pt-BR,,#br;bahia,,Municípios::Santanópolis - BA,label_9151
4241,br;bahia;santa.rita.cassia,"Santa Rita de Cássia - BA",pt-BR,,#br;bahia,,Municípios::Santa Rita de Cássia - BA,label_9152
4242,br;bahia;santa.teresinha,"Santa Teresinha - BA",pt-BR,,#br;bahia,,Municípios::Santa Teresinha - BA,label_9153
4243,br;bahia;santo.amaro,"Santo Amaro - BA",pt-BR,,#br;bahia,,Municípios::Santo Amaro - BA,label_9154
4244,br;bahia;santo.antonio.jesus,"Santo Antônio de Jesus - BA",pt-BR,,#br;bahia,,Municípios::Santo Antônio de Jesus - BA,label_9155
4245,br;bahia;santo.estevao,"Santo Estêvão - BA",pt-BR,,#br;bahia,,Municípios::Santo Estêvão - BA,label_9156
4246,br;bahia;sao.desiderio,"São Desidério - BA",pt-BR,,#br;bahia,,Municípios::São Desidério - BA,label_9157
4247,br;bahia;sao.domingos,"São Domingos - BA",pt-BR,,#br;bahia,,Municípios::São Domingos - BA,label_9158
4248,br;bahia;sao.felix,"São Félix - BA",pt-BR,,#br;bahia,,Municípios::São Félix - BA,label_9159
4249,br;bahia;sao.felix.coribe,"São Félix do Coribe - BA",pt-BR,,#br;bahia,,Municípios::São Félix do Coribe - BA,label_9160
4250,br;bahia;sao.felipe,"São Felipe - BA",pt-BR,,#br;bahia,,Municípios::São Felipe - BA,label_9161
4251,br;bahia;sao.francisco.conde,"São Francisco do Conde - BA",pt-BR,,#br;bahia,,Municípios::São Francisco do Conde - BA,label_9162
4252,br;bahia;sao.gabriel,"São Gabriel - BA",pt-BR,,#br;bahia,,Municípios::São Gabriel - BA,label_9163
4253,br;bahia;sao.goncalo.campos,"São Gonçalo dos Campos - BA",pt-BR,,#br;bahia,,Municípios::São Gonçalo dos Campos - BA,label_9164
4254,br;bahia;sao.jose.vitoria,"São José da Vitória - BA",pt-BR,,#br;bahia,,Municípios::São José da Vitória - BA,label_9165
4255,br;bahia;sao.jose.jacuipe,"São José do Jacuípe - BA",pt-BR,,#br;bahia,,Municípios::São José do Jacuípe - BA,label_9166
